bedroom:bed, computer:chip, dance:step, foot:toe, dance:step, computer:chip
boat:motor, clock:hand, cat:whiskers, hand:finger, clock:hand, boat:motor
fin:fish, shoe:sole, boat:motor, hand:finger, shoe:sole, hand:finger
recipe:ingredient, lips:mouth, city:block, motor:boat, motor:boat, recipe:ingredient
act:play, zebra:stripes, hand:finger, bird:feathers, zebra:stripes, hand:finger
tree:branch, fish:fin, ear:lobes, bottle:water, bottle:water, tree:branch
bottle:water, computer:chip, fin:fish, clock:hand, clock:hand, computer:chip
bottle:water, shoe:sole, building:wall, zebra:stripes, zebra:stripes, shoe:sole
shoe:sole, building:floor, bookcase:shelf, movie:scene, building:floor, shoe:sole
egg:yolk, motor:boat, remote:buttons, boat:motor, boat:motor, egg:yolk
computer:mouse, egg:yolk, zebra:stripes, computer:chip, zebra:stripes, computer:chip
bedroom:bed, building:floor, act:play, freezer:ice, building:floor, bedroom:bed
building:floor, bicycle:wheel, egg:yolk, bottle:water, bicycle:wheel, building:floor
remote:buttons, bedroom:bed, bunch:grape, play:act, bunch:grape, bedroom:bed
toe:foot, egg:yolk, act:play, bookcase:shelf, act:play, bookcase:shelf
remote:buttons, book:spine, bunch:grape, cat:whiskers, bunch:grape, remote:buttons
foot:toe, zebra:stripes, toe:foot, hand:finger, toe:foot, foot:toe
book:spine, tastebuds:tongue, movie:scene, fish:fin, fish:fin, book:spine
dog:tail, bouquet:flower, bicycle:wheel, tree:branch, bouquet:flower, bicycle:wheel
ear:lobes, fish:fin, bookcase:shelf, computer:mouse, computer:mouse, bookcase:shelf
bird:wings, movie:scene, cat:whiskers, building:floor, cat:whiskers, bird:wings
bunch:grape, shoe:sole, building:wall, tastebuds:tongue, building:wall, shoe:sole
dog:tail, ear:lobes, bedroom:bed, bird:wings, ear:lobes, bird:wings
shoe:sole, computer:mouse, foot:toe, motor:boat, motor:boat, shoe:sole
jeans:zipper, fish:fin, freezer:ice, play:act, fish:fin, jeans:zipper
computer:mouse, foot:toe, cat:whiskers, book:page, book:page, computer:mouse
flashlight:bulb, movie:scene, dance:step, bottle:water, bottle:water, flashlight:bulb
toe:foot, jeans:zipper, bunch:grape, foot:toe, foot:toe, bunch:grape
fish:fin, book:spine, flashlight:bulb, bicycle:wheel, bicycle:wheel, flashlight:bulb
finger:hand, computer:chip, bunch:grape, lips:mouth, bunch:grape, computer:chip
clock:hand, freezer:ice, bouquet:flower, hand:finger, freezer:ice, bouquet:flower
