nod:agreement, friendliness:wink, frown:anger, tears:sadness, friendliness:wink, tears:sadness
laugh:hilarity, laugh:amusement, wink:friendliness, kiss:love, wink:friendliness, kiss:love
wave:acknowledgement, snarl:anger, frown:anger, groan:pain, wave:acknowledgement, groan:pain
cough:illness, laughter:amusement, snarl:anger, sorrow:tears, sorrow:tears, snarl:anger
wave:acknowledgement, punch:hatred, yell:anger, grimace:disgust, punch:hatred, wave:acknowledgement
kiss:love, yawn:boredom, tear:sadness, laughter:amusement, yawn:boredom, laughter:amusement
wave:acknowledgement, snarl:anger, sorrow:tears, lie:dishonesty, sorrow:tears, lie:dishonesty
handshake:cordiality, wave:acknowledgment, hilarity:laugh, laugh:amusement, handshake:cordiality, hilarity:laugh
hilarity:laugh, laugh:happiness, kiss:passion, punch:hatred, laugh:happiness, hilarity:laugh
kiss:love, cough:sickness, discourse:relationship, kiss:passion, cough:sickness, discourse:relationship
sigh:exhaustion, wink:friendliness, frown:distaste, crying:sadness, wink:friendliness, crying:sadness
laugh:hilarity, scream:terror, cough:sickness, yell:anger, cough:sickness, laugh:hilarity
frown:sadness, wink:friendliness, lie:dishonesty, crying:sadness, wink:friendliness, crying:sadness
exhaustion:sigh, tear:sadness, lie:dishonesty, laugh:hilarity, tear:sadness, laugh:hilarity
wave:acknowledgement, glare:anger, laugh:hilarity, frown:distaste, glare:anger, laugh:hilarity
friendliness:wink, kiss:passion, laugh:hilarity, sorrow:tears, kiss:passion, laugh:hilarity
sigh:exhaustion, discourse:relationship, glare:anger, cough:illness, discourse:relationship, glare:anger
laugh:hilarity, grimace:disgust, yawn:boredom, laughter:amusement, yawn:boredom, laughter:amusement
punch:hatred, cough:sickness, tear:sadness, cough:illness, punch:hatred, tear:sadness
sigh:exhaustion, tear:sadness, laugh:happiness, frown:anger, frown:anger, sigh:exhaustion
wave:acknowledgment, laughter:amusement, discourse:relationship, sorrow:tears, discourse:relationship, wave:acknowledgment
frown:discontent, tear:sadness, sorrow:tears, kiss:passion, sorrow:tears, tear:sadness
tears:sorrow, tear:sadness, frown:sadness, scream:terror, tear:sadness, scream:terror
yell:anger, groan:pain, handshake:cordiality, scream:terror, handshake:cordiality, scream:terror
grimace:disgust, burp:gas, frown:anger, cough:sickness, burp:gas, grimace:disgust
discourse:relationship, nod:agreement, wave:acknowledgement, growl:danger, discourse:relationship, nod:agreement
wink:friendliness, wave:acknowledgment, handshake:cordiality, laugh:happiness, wink:friendliness, handshake:cordiality
burp:gas, frown:discontent, yell:anger, laugh:happiness, burp:gas, yell:anger
frown:discontent, tears:sadness, kiss:love, laughter:amusement, frown:discontent, kiss:love
discourse:relationship, burp:gas, groan:pain, scream:terror, discourse:relationship, scream:terror
nod:agreement, wave:acknowledgement, yawn:boredom, cough:illness, yawn:boredom, nod:agreement
