bedding:sheet, instrument:piano, flower:daisy, internet:website, internet:website, bedding:sheet
mica:mineral, appliance:refrigerator, mineral:mica, animal:raccoon, mineral:mica, appliance:refrigerator
shoe:boot, color:green, furniture:couch, instrument:piano, color:green, shoe:boot
beverage:water, worker:librarian, seat:couch, furniture:chair, seat:couch, beverage:water
meat:beef, mica:mineral, color:green, currency:dollar, color:green, meat:beef
cordless:phone, container:jug, flower:daisy, tool:hammer, cordless:phone, flower:daisy
furniture:couch, mica:mineral, currency:dollar, appliance:refrigerator, mica:mineral, currency:dollar
furniture:chair, flower:daisy, appliance:refrigerator, light:lamp, flower:daisy, furniture:chair
pet:cat, seat:couch, tool:hammer, herb:basil, seat:couch, tool:hammer
pet:cat, worker:librarian, mineral:mica, literature:book, worker:librarian, pet:cat
fruit:apple, instrument:piano, mammal:gorilla, light:lamp, light:lamp, fruit:apple
furniture:chair, furniture:couch, fruit:apple, mineral:mica, mineral:mica, fruit:apple
fish:trout, bird:cardinal, container:jug, book:novel, book:novel, fish:trout
space:star, father:family, dish:bowl, bird:cardinal, father:family, bird:cardinal
appliance:refrigerator, family:father, color:green, furniture:couch, color:green, appliance:refrigerator
container:jug, computer:laptop, currency:dollar, daisy:flower, daisy:flower, computer:laptop
flower:daisy, fruit:apple, tool:hammer, mica:mineral, mica:mineral, tool:hammer
seat:couch, meat:beef, herb:basil, fish:trout, seat:couch, meat:beef
herb:basil, literature:book, container:jug, animal:raccoon, animal:raccoon, literature:book
furniture:couch, seat:couch, cordless:phone, mineral:mica, seat:couch, furniture:couch
animal:raccoon, drink:milk, family:father, pet:cat, drink:milk, family:father
furniture:chair, literature:book, book:novel, father:family, father:family, furniture:chair
tool:hammer, beverage:water, refrigerator:appliance, drink:milk, refrigerator:appliance, tool:hammer
mammal:gorilla, book:novel, meat:beef, herb:basil, herb:basil, mammal:gorilla
appliance:refrigerator, bedding:sheet, drink:milk, shoe:boot, drink:milk, appliance:refrigerator
dish:bowl, furniture:couch, pet:cat, instrument:piano, furniture:couch, pet:cat
meat:beef, family:father, furniture:chair, furniture:desk, family:father, meat:beef
literature:book, bird:cardinal, dish:bowl, furniture:couch, bird:cardinal, furniture:couch
shoe:boot, literature:book, art:sculpture, furniture:desk, shoe:boot, literature:book
meat:beef, bedding:sheet, animal:raccoon, cordless:phone, cordless:phone, meat:beef
tool:hammer, family:father, art:sculpture, furniture:chair, family:father, tool:hammer
family:father, furniture:chair, pet:cat, light:lamp, pet:cat, furniture:chair
art:sculpture, tool:hammer, father:family, seat:couch, father:family, tool:hammer
dish:bowl, phone:cordless, daisy:flower, currency:dollar, phone:cordless, dish:bowl
tool:hammer, film:drama, computer:laptop, refrigerator:appliance, film:drama, tool:hammer
beverage:water, fruit:apple, space:star, dish:bowl, space:star, dish:bowl
beverage:water, container:jug, mammal:gorilla, light:lamp, light:lamp, beverage:water
cordless:phone, bird:cardinal, light:lamp, color:green, bird:cardinal, color:green
space:star, refrigerator:appliance, book:novel, bedding:sheet, space:star, book:novel
color:green, furniture:desk, film:drama, currency:dollar, color:green, currency:dollar
drink:milk, currency:dollar, mica:mineral, refrigerator:appliance, mica:mineral, refrigerator:appliance
currency:dollar, pet:cat, instrument:piano, computer:laptop, computer:laptop, pet:cat
fish:trout, flower:daisy, container:jug, bedding:sheet, container:jug, fish:trout
fish:trout, animal:raccoon, currency:dollar, drink:milk, drink:milk, currency:dollar
instrument:piano, daisy:flower, furniture:couch, art:sculpture, art:sculpture, instrument:piano
seat:couch, furniture:desk, refrigerator:appliance, daisy:flower, seat:couch, refrigerator:appliance
internet:website, mineral:mica, mica:mineral, art:sculpture, mica:mineral, internet:website
beverage:water, cordless:phone, refrigerator:appliance, film:drama, film:drama, beverage:water
light:lamp, art:sculpture, phone:cordless, color:green, phone:cordless, art:sculpture
