a Y is a part of an X
bedroom:bed, computer:chip, dance:step, foot:toe, dance:step, computer:chip
fin:fish, shoe:sole, boat:motor, hand:finger, boat:motor, hand:finger
recipe:ingredient, lips:mouth, city:block, motor:boat, motor:boat, lips:mouth
act:play, zebra:stripes, hand:finger, bird:feathers, act:play, hand:finger
tree:branch, fish:fin, ear:lobes, bottle:water, bottle:water, ear:lobes
bottle:water, computer:chip, fin:fish, clock:hand, bottle:water, fin:fish
bottle:water, shoe:sole, building:wall, zebra:stripes, zebra:stripes, building:wall
shoe:sole, building:floor, bookcase:shelf, movie:scene, movie:scene, shoe:sole
egg:yolk, motor:boat, remote:buttons, boat:motor, boat:motor, egg:yolk
computer:mouse, egg:yolk, zebra:stripes, computer:chip, zebra:stripes, egg:yolk
bedroom:bed, building:floor, act:play, freezer:ice, act:play, bedroom:bed
building:floor, bicycle:wheel, egg:yolk, bottle:water, bottle:water, egg:yolk
remote:buttons, bedroom:bed, bunch:grape, play:act, play:act, remote:buttons
toe:foot, egg:yolk, act:play, bookcase:shelf, act:play, toe:foot
remote:buttons, book:spine, bunch:grape, cat:whiskers, bunch:grape, cat:whiskers
foot:toe, zebra:stripes, toe:foot, hand:finger, toe:foot, foot:toe
book:spine, tastebuds:tongue, movie:scene, fish:fin, movie:scene, fish:fin
dog:tail, bouquet:flower, bicycle:wheel, tree:branch, bouquet:flower, bicycle:wheel
ear:lobes, fish:fin, bookcase:shelf, computer:mouse, computer:mouse, bookcase:shelf
bird:wings, movie:scene, cat:whiskers, building:floor, bird:wings, building:floor
bunch:grape, shoe:sole, building:wall, tastebuds:tongue, bunch:grape, tastebuds:tongue
dog:tail, ear:lobes, bedroom:bed, bird:wings, bedroom:bed, bird:wings
shoe:sole, computer:mouse, foot:toe, motor:boat, motor:boat, foot:toe
jeans:zipper, fish:fin, freezer:ice, play:act, freezer:ice, fish:fin
computer:mouse, foot:toe, cat:whiskers, book:page, computer:mouse, book:page
flashlight:bulb, movie:scene, dance:step, bottle:water, bottle:water, movie:scene
toe:foot, jeans:zipper, bunch:grape, foot:toe, foot:toe, toe:foot
fish:fin, book:spine, flashlight:bulb, bicycle:wheel, flashlight:bulb, fish:fin
finger:hand, computer:chip, bunch:grape, lips:mouth, bunch:grape, finger:hand
clock:hand, freezer:ice, bouquet:flower, hand:finger, freezer:ice, hand:finger
