an Y receives an X
sickness:cough, medal:hero, speaker:stereo, tip:waitress, speaker:stereo, tip:waitress
drug:patient, bottle:baby, degree:graduate, award:winner, bottle:baby, degree:graduate
employee:check, tip:waitress, treatment:patient, payment:debtor, payment:debtor, tip:waitress
religion:disciple, fastball:catcher, degree:graduate, trophy:champion, religion:disciple, trophy:champion
diploma:student, donation:charity, baby:bottle, award:winner, baby:bottle, award:winner
ribbon:winner, partner:dancer, medal:hero, donation:charity, partner:dancer, donation:charity
sickness:cough, award:winner, religion:disciple, education:student, sickness:cough, education:student
baby:bottle, bottle:baby, certificate:teacher, baby:parents, bottle:baby, baby:bottle
gift:recipient, sentence:criminal, diploma:graduate, certificate:teacher, certificate:teacher, gift:recipient
grant:scientist, diploma:student, bottle:baby, speaker:stereo, speaker:stereo, bottle:baby
degree:graduate, prescription:patient, receipt:customer, employee:check, employee:check, prescription:patient
diploma:graduate, drug:patient, degree:lawyer, payment:debtor, degree:lawyer, drug:patient
treatment:patient, fastball:catcher, grant:scientist, receipt:customer, receipt:customer, grant:scientist
education:student, speeder:ticket, degree:graduate, cough:sickness, cough:sickness, degree:graduate
partner:dancer, tip:waitress, religion:disciple, speaker:stereo, speaker:stereo, tip:waitress
waiter:tip, tip:waiter, cough:sickness, check:employee, tip:waiter, waiter:tip
award:winner, drug:patient, ticket:speeder, grant:scientist, ticket:speeder, grant:scientist
gift:recipient, grant:scientist, diploma:student, speeder:ticket, speeder:ticket, gift:recipient
degree:lawyer, donation:charity, cough:sickness, baby:bottle, cough:sickness, baby:bottle
drug:patient, baby:bottle, sentence:criminal, prescription:patient, baby:bottle, sentence:criminal
baby:parents, payment:debtor, medal:hero, sickness:cough, sickness:cough, medal:hero
sneaker:shoelace, speeder:ticket, payment:debtor, waiter:tip, payment:debtor, waiter:tip
sneaker:shoelace, partner:dancer, drug:patient, baby:parents, baby:parents, drug:patient
award:winner, waiter:tip, trophy:champion, ring:bride, ring:bride, waiter:tip
sickness:cough, tip:waiter, sentence:criminal, diploma:student, sickness:cough, diploma:student
prescription:patient, bottle:baby, rocket:fuel, cough:sickness, cough:sickness, prescription:patient
certificate:teacher, degree:lawyer, donation:charity, medal:hero, degree:lawyer, donation:charity
tip:waitress, bottle:baby, donation:charity, check:employee, bottle:baby, donation:charity
certificate:teacher, partner:dancer, ring:bride, ticket:speeder, partner:dancer, ring:bride
bottle:baby, ring:bride, grant:scientist, treatment:patient, bottle:baby, treatment:patient
check:employee, gift:recipient, religion:disciple, diploma:student, religion:disciple, check:employee
ticket:speeder, baby:bottle, award:winner, waiter:tip, ticket:speeder, waiter:tip
speaker:stereo, cough:sickness, diploma:student, baby:parents, cough:sickness, diploma:student
treatment:patient, fastball:catcher, sneaker:shoelace, certificate:teacher, sneaker:shoelace, certificate:teacher
diploma:graduate, degree:graduate, sentence:criminal, gift:recipient, degree:graduate, gift:recipient
payment:debtor, education:student, degree:lawyer, ribbon:winner, degree:lawyer, education:student
check:employee, ribbon:winner, drug:patient, payment:debtor, ribbon:winner, check:employee
tip:waiter, tip:waitress, cough:sickness, gift:recipient, cough:sickness, gift:recipient
fastball:catcher, speaker:stereo, donation:charity, degree:graduate, speaker:stereo, donation:charity
receipt:customer, donation:charity, sickness:cough, diploma:student, sickness:cough, diploma:student
treatment:patient, bottle:baby, speeder:ticket, diploma:student, speeder:ticket, diploma:student
receipt:customer, bottle:baby, sneaker:shoelace, education:student, sneaker:shoelace, education:student
cough:sickness, receipt:customer, rocket:fuel, employee:check, cough:sickness, employee:check
donation:charity, rocket:fuel, ribbon:winner, grant:scientist, rocket:fuel, grant:scientist
receipt:customer, rocket:fuel, payment:debtor, medal:hero, rocket:fuel, medal:hero
waiter:tip, fuel:rocket, parents:baby, student:education, fuel:rocket, waiter:tip
certificate:teacher, religion:disciple, sneaker:shoelace, waiter:tip, sneaker:shoelace, waiter:tip
diploma:graduate, medal:hero, cough:sickness, fastball:catcher, cough:sickness, diploma:graduate
employee:check, sentence:criminal, speeder:ticket, diploma:graduate, sentence:criminal, diploma:graduate
baby:bottle, speaker:stereo, trophy:champion, grant:scientist, speaker:stereo, baby:bottle
ring:bride, rocket:fuel, speeder:ticket, partner:dancer, rocket:fuel, speeder:ticket
certificate:teacher, treatment:patient, prescription:patient, education:student, certificate:teacher, education:student
ticket:speeder, gift:recipient, tip:waiter, trophy:champion, ticket:speeder, trophy:champion
ring:bride, baby:bottle, baby:parents, medal:hero, baby:parents, medal:hero
award:winner, baby:parents, tip:waitress, grant:scientist, baby:parents, tip:waitress
ring:bride, employee:check, donation:charity, degree:lawyer, degree:lawyer, employee:check
sneaker:shoelace, degree:lawyer, gift:recipient, sickness:cough, sickness:cough, gift:recipient
medal:hero, receipt:customer, degree:graduate, baby:bottle, baby:bottle, degree:graduate
