X is made of / is comprised of Y
house:bricks, lawn:grass, sock:thread, meal:food, meal:food, house:bricks
headstone:marble, plastic:polymer, atmosphere:gas, wall:plaster, plastic:polymer, wall:plaster
clothing:thread, team:players, church:believers, garden:flowers, church:believers, clothing:thread
church:believers, wall:plaster, evidence:case, lawn:grass, church:believers, lawn:grass
food:meal, clothing:thread, evidence:case, money:paper, evidence:case, clothing:thread
wall:plaster, parrot:bird, sock:thread, sweater:wool, parrot:bird, sweater:wool
meal:food, boots:leather, glass:silicone, plastic:polymer, glass:silicone, boots:leather
wig:hair, yogurt:milk, table:wood, money:paper, money:paper, table:wood
wire:metal, sweater:wool, lawn:grass, clothing:thread, clothing:thread, lawn:grass
sock:thread, atmosphere:gas, wall:bricks, wall:plaster, wall:plaster, sock:thread
meal:courses, cacophony:howls, team:players, ice:water, cacophony:howls, ice:water
team:players, meal:food, money:paper, boots:leather, money:paper, boots:leather
alcohol:wine, boots:leather, omelette:eggs, table:wood, alcohol:wine, omelette:eggs
glass:silicone, yogurt:milk, ice:water, alcohol:wine, glass:silicone, ice:water
boots:leather, wine:alcohol, desk:wood, house:bricks, wine:alcohol, house:bricks
atmosphere:gas, cacophony:howls, carpet:fibers, cocktail:alcohol, cacophony:howls, carpet:fibers
meal:food, ice:water, evidence:case, team:players, evidence:case, ice:water
wine:alcohol, wig:hair, carpet:fibers, food:meal, food:meal, carpet:fibers
meal:food, sock:thread, church:believers, food:meal, church:believers, sock:thread
yogurt:milk, sweater:wool, case:evidence, plastic:polymer, case:evidence, plastic:polymer
wire:metal, garden:flowers, boots:leather, atmosphere:gas, garden:flowers, wire:metal
case:evidence, ice:water, church:believers, roof:shingles, church:believers, ice:water
capsule:medicine, wine:alcohol, cacophony:howls, table:wood, cacophony:howls, table:wood
garden:flowers, desk:wood, headstone:marble, money:paper, garden:flowers, desk:wood
flour:bread, roof:shingles, sock:thread, glass:silicone, glass:silicone, flour:bread
sock:thread, sweater:wool, atmosphere:gas, cocktail:alcohol, cocktail:alcohol, sweater:wool
cocktail:alcohol, sweater:wool, wine:alcohol, carpet:fibers, wine:alcohol, carpet:fibers
ocean:water, yogurt:milk, atmosphere:gas, water:ocean, water:ocean, ocean:water
body:flesh, concrete:cement, omelette:eggs, lawn:grass, lawn:grass, omelette:eggs
bread:flour, water:ocean, carpet:fibers, boots:leather, water:ocean, bread:flour
yogurt:milk, money:paper, wire:metal, water:ocean, water:ocean, yogurt:milk
alcohol:wine, team:players, boots:leather, sweater:wool, alcohol:wine, sweater:wool
yogurt:milk, meal:food, parrot:bird, body:flesh, parrot:bird, yogurt:milk
flour:bread, capsule:medicine, ocean:water, parrot:bird, parrot:bird, ocean:water
glass:silicone, body:flesh, capsule:medicine, boots:leather, glass:silicone, boots:leather
church:believers, carpet:fibers, evidence:case, desk:wood, church:believers, desk:wood
sweater:wool, wine:alcohol, meal:courses, concrete:cement, wine:alcohol, sweater:wool
wig:hair, plastic:polymer, capsule:medicine, wall:bricks, capsule:medicine, wall:bricks
concrete:cement, headstone:marble, money:paper, house:bricks, money:paper, house:bricks
bread:flour, wig:hair, box:cardboard, flour:bread, flour:bread, bread:flour
money:paper, cocktail:alcohol, water:ocean, bread:flour, water:ocean, bread:flour
team:players, ocean:water, alcohol:wine, meal:courses, alcohol:wine, ocean:water
bread:flour, carpet:fibers, parrot:bird, team:players, parrot:bird, bread:flour
case:evidence, wire:metal, parrot:bird, bread:flour, case:evidence, bread:flour
omelette:eggs, headstone:marble, clothing:thread, capsule:medicine, clothing:thread, omelette:eggs
body:flesh, food:meal, capsule:medicine, box:cardboard, food:meal, body:flesh
flour:bread, case:evidence, money:paper, food:meal, food:meal, flour:bread
meal:courses, capsule:medicine, concrete:cement, church:believers, church:believers, concrete:cement
desk:wood, box:cardboard, garden:flowers, team:players, garden:flowers, desk:wood
water:ocean, church:believers, table:wood, wine:alcohol, water:ocean, table:wood
lawn:grass, sock:thread, concrete:cement, clothing:thread, concrete:cement, lawn:grass
house:bricks, food:meal, case:evidence, alcohol:wine, alcohol:wine, house:bricks
box:cardboard, meal:food, wine:alcohol, glass:silicone, wine:alcohol, box:cardboard
ocean:water, plastic:polymer, body:flesh, team:players, team:players, ocean:water
