X is an expression that indicates Y
nod:agreement, friendliness:wink, frown:anger, tears:sadness, friendliness:wink, tears:sadness
grimace:disgust, kiss:passion, kiss:love, groan:pain, kiss:love, groan:pain
glare:anger, slap:anger, friendliness:wink, exhaustion:sigh, slap:anger, exhaustion:sigh
cough:illness, slap:anger, kiss:love, scream:terror, cough:illness, scream:terror
laugh:happiness, tears:sorrow, laugh:amusement, burp:gas, burp:gas, laugh:happiness
tears:sorrow, yell:anger, tears:sadness, hilarity:laugh, hilarity:laugh, tears:sadness
snarl:anger, burp:gas, tears:sadness, grimace:disgust, burp:gas, tears:sadness
frown:anger, tears:sadness, friendliness:wink, laughter:amusement, friendliness:wink, frown:anger
growl:danger, laughter:amusement, frown:anger, frown:distaste, growl:danger, frown:anger
sorrow:tears, frown:sadness, frown:anger, snarl:anger, frown:anger, sorrow:tears
laugh:hilarity, laugh:amusement, wink:friendliness, kiss:love, laugh:hilarity, kiss:love
wave:acknowledgement, snarl:anger, frown:anger, groan:pain, wave:acknowledgement, groan:pain
cough:illness, laughter:amusement, snarl:anger, sorrow:tears, sorrow:tears, snarl:anger
wave:acknowledgement, punch:hatred, yell:anger, grimace:disgust, punch:hatred, yell:anger
kiss:love, yawn:boredom, tear:sadness, laughter:amusement, kiss:love, tear:sadness
wave:acknowledgement, snarl:anger, sorrow:tears, lie:dishonesty, sorrow:tears, wave:acknowledgement
handshake:cordiality, wave:acknowledgment, hilarity:laugh, laugh:amusement, hilarity:laugh, handshake:cordiality
hilarity:laugh, laugh:happiness, kiss:passion, punch:hatred, laugh:happiness, hilarity:laugh
kiss:love, cough:sickness, discourse:relationship, kiss:passion, cough:sickness, discourse:relationship
sigh:exhaustion, wink:friendliness, frown:distaste, crying:sadness, wink:friendliness, crying:sadness
laugh:hilarity, scream:terror, cough:sickness, yell:anger, cough:sickness, scream:terror
frown:sadness, wink:friendliness, lie:dishonesty, crying:sadness, wink:friendliness, frown:sadness
exhaustion:sigh, tear:sadness, lie:dishonesty, laugh:hilarity, lie:dishonesty, laugh:hilarity
wave:acknowledgement, glare:anger, laugh:hilarity, frown:distaste, frown:distaste, laugh:hilarity
friendliness:wink, kiss:passion, laugh:hilarity, sorrow:tears, sorrow:tears, laugh:hilarity
sigh:exhaustion, discourse:relationship, glare:anger, cough:illness, discourse:relationship, glare:anger
laugh:hilarity, grimace:disgust, yawn:boredom, laughter:amusement, yawn:boredom, laugh:hilarity
punch:hatred, cough:sickness, tear:sadness, cough:illness, punch:hatred, tear:sadness
sigh:exhaustion, tear:sadness, laugh:happiness, frown:anger, laugh:happiness, frown:anger
wave:acknowledgment, laughter:amusement, discourse:relationship, sorrow:tears, discourse:relationship, wave:acknowledgment
frown:discontent, tear:sadness, sorrow:tears, kiss:passion, sorrow:tears, frown:discontent
tears:sorrow, tear:sadness, frown:sadness, scream:terror, tear:sadness, scream:terror
yell:anger, groan:pain, handshake:cordiality, scream:terror, handshake:cordiality, scream:terror
grimace:disgust, burp:gas, frown:anger, cough:sickness, burp:gas, grimace:disgust
discourse:relationship, nod:agreement, wave:acknowledgement, growl:danger, discourse:relationship, growl:danger
wink:friendliness, wave:acknowledgment, handshake:cordiality, laugh:happiness, wink:friendliness, laugh:happiness
burp:gas, frown:discontent, yell:anger, laugh:happiness, burp:gas, yell:anger
frown:discontent, tears:sadness, kiss:love, laughter:amusement, frown:discontent, laughter:amusement
discourse:relationship, burp:gas, groan:pain, scream:terror, discourse:relationship, scream:terror
nod:agreement, wave:acknowledgement, yawn:boredom, cough:illness, cough:illness, nod:agreement
